Gazepoint Analysis,v6.8.0
Processed on,Tue May  7 15:44:35 2024

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
6, THE_SHIFT_14_03_24_A.png, 10.000, 203, AOI 203, 0.000, 10.000, 12, 12, 1.523, 2.500, 24.997, 9.167, 12, 4.167, 0.000, 
6, THE_SHIFT_14_03_24_A.png, 10.000, 204, AOI 204, 0.000, 10.000, 10, 12, 5.569, 0.503, 5.034, 2.300, 6, 1.667, 0.000, 
6, THE_SHIFT_14_03_24_A.png, 10.000, 205, AOI 205, 0.000, 10.000, 12, 12, 6.683, 1.192, 11.919, 4.583, 8, 2.500, 0.000, 
6, THE_SHIFT_14_03_24_A.png, 10.000, 206, AOI 206, 0.000, 10.000, 3, 12, 8.696, 0.443, 4.434, 2.000, 0, 0.000, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 64, AOI 64, 0.000, 10.000, 9, 12, 3.501, 0.789, 7.892, 3.778, 6, 2.833, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 65, AOI 65, 0.000, 10.000, 12, 12, 0.472, 2.683, 26.831, 8.750, 10, 2.100, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 66, AOI 66, 0.000, 10.000, 10, 12, 3.983, 1.134, 11.340, 4.200, 9, 1.667, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 67, AOI 67, 0.000, 10.000, 11, 12, 4.167, 0.753, 7.526, 2.727, 9, 1.222, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 68, AOI 68, 0.000, 10.000, 9, 12, 3.724, 0.621, 6.214, 2.444, 2, 1.000, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 69, AOI 69, 0.000, 10.000, 7, 12, 3.523, 0.774, 7.742, 2.857, 3, 1.333, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 70, AOI 70, 0.000, 10.000, 11, 12, 6.330, 0.690, 6.905, 2.455, 3, 1.000, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 71, AOI 71, 0.000, 10.000, 10, 12, 5.567, 0.723, 7.230, 2.400, 4, 1.750, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 72, AOI 72, 0.000, 10.000, 10, 12, 4.584, 1.179, 11.785, 3.800, 6, 1.333, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 158, AOI 64, 0.000, 10.000, 9, 12, 3.501, 0.789, 7.892, 3.778, 6, 2.833, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 159, AOI 65, 0.000, 10.000, 12, 12, 0.472, 2.683, 26.831, 8.750, 10, 2.100, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 160, AOI 66, 0.000, 10.000, 10, 12, 3.983, 1.134, 11.340, 4.200, 9, 1.667, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 161, AOI 67, 0.000, 10.000, 11, 12, 4.167, 0.753, 7.526, 2.727, 9, 1.222, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 162, AOI 68, 0.000, 10.000, 9, 12, 3.724, 0.621, 6.214, 2.444, 2, 1.000, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 163, AOI 69, 0.000, 10.000, 7, 12, 3.523, 0.774, 7.742, 2.857, 3, 1.333, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 164, AOI 70, 0.000, 10.000, 11, 12, 6.330, 0.690, 6.905, 2.455, 3, 1.000, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 165, AOI 71, 0.000, 10.000, 10, 12, 5.567, 0.723, 7.230, 2.400, 4, 1.750, 0.000, 
7, TIMES_OF_MALTA_15_03_24_A.png, 10.000, 166, AOI 72, 0.000, 10.000, 10, 12, 4.584, 1.179, 11.785, 3.800, 6, 1.333, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 79, AOI 79, 0.000, 10.000, 7, 12, 3.410, 0.867, 8.673, 3.857, 6, 2.167, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 80, AOI 80, 0.000, 10.000, 12, 12, 0.546, 2.903, 29.033, 9.667, 10, 1.800, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 81, AOI 81, 0.000, 10.000, 12, 12, 2.480, 1.280, 12.803, 4.167, 6, 2.500, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 82, AOI 82, 0.000, 10.000, 11, 12, 3.208, 1.276, 12.764, 4.182, 6, 2.333, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 83, AOI 83, 0.000, 10.000, 6, 12, 5.049, 0.490, 4.899, 1.833, 1, 2.000, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 84, AOI 84, 0.000, 10.000, 5, 12, 5.471, 0.177, 1.772, 1.400, 2, 1.000, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 85, AOI 85, 0.000, 10.000, 8, 12, 6.033, 0.418, 4.182, 2.000, 2, 1.500, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 86, AOI 86, 0.000, 10.000, 7, 12, 6.123, 1.571, 15.709, 4.429, 4, 1.000, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 87, AOI 87, 0.000, 10.000, 12, 12, 2.175, 1.116, 11.161, 4.750, 8, 3.750, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 167, AOI 79, 0.000, 10.000, 7, 12, 3.410, 0.867, 8.673, 3.857, 6, 2.167, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 168, AOI 80, 0.000, 10.000, 12, 12, 0.546, 2.903, 29.033, 9.667, 10, 1.800, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 169, AOI 81, 0.000, 10.000, 12, 12, 2.480, 1.280, 12.803, 4.167, 6, 2.500, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 170, AOI 82, 0.000, 10.000, 11, 12, 3.208, 1.276, 12.764, 4.182, 6, 2.333, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 171, AOI 83, 0.000, 10.000, 6, 12, 5.049, 0.490, 4.899, 1.833, 1, 2.000, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 172, AOI 84, 0.000, 10.000, 5, 12, 5.586, 0.066, 0.656, 1.200, 2, 1.000, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 173, AOI 85, 0.000, 10.000, 8, 12, 6.033, 0.418, 4.182, 2.000, 2, 1.500, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 174, AOI 86, 0.000, 10.000, 7, 12, 6.123, 1.571, 15.709, 4.429, 4, 1.000, 0.000, 
8, TIMES_OF_MALTA_29_02_24_A.jpg, 10.000, 175, AOI 87, 0.000, 10.000, 12, 12, 2.175, 1.116, 11.161, 4.750, 8, 3.750, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 88, AOI 88, 0.000, 10.000, 12, 12, 0.651, 3.036, 30.356, 9.750, 11, 2.182, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 89, AOI 89, 0.000, 10.000, 11, 12, 3.486, 1.587, 15.870, 5.273, 4, 2.000, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 90, AOI 90, 0.000, 10.000, 12, 12, 5.245, 0.826, 8.260, 2.583, 2, 1.000, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 91, AOI 91, 0.000, 10.000, 10, 12, 5.058, 0.745, 7.449, 2.300, 3, 1.333, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 92, AOI 92, 0.000, 10.000, 8, 12, 3.590, 0.651, 6.511, 2.125, 3, 1.667, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 93, AOI 93, 0.000, 10.000, 7, 12, 5.875, 0.670, 6.696, 2.429, 3, 1.333, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 94, AOI 94, 0.000, 10.000, 12, 12, 3.236, 0.969, 9.687, 3.833, 6, 1.833, 0.000, 
9, TVM_14_03_24_A.png, 10.000, 95, AOI 95, 0.000, 10.000, 6, 12, 2.191, 0.475, 4.753, 3.333, 4, 3.250, 0.000, 

AOI Statistics (for each user)
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start, AOI Duration (sec - U=UserControlled), User ID, User Name, User Gender, User Age, Time to 1st View (sec) -1.0 means not viewed, Time Viewed (sec), Time Viewed (%), Fixations (#), Revisits (#), Clicks (#), 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 3, User 3, M, 0, 0.000, 1.573, 15.732, 9.000, 5, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 4, User 4, M, 0, 3.335, 1.642, 16.421, 6.000, 2, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 5, User 5, M, 0, 1.265, 0.772, 7.720, 4.000, 0, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 6, User 6, M, 0, 1.559, 2.711, 27.114, 10.000, 2, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 7, User 7, M, 0, 0.542, 1.392, 13.921, 6.000, 2, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 8, User 8, M, 0, 0.938, 1.577, 15.767, 6.000, 1, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 9, User 9, M, 0, 0.772, 0.869, 8.691, 5.000, 3, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 10, User 10, M, 0, 0.854, 1.296, 12.959, 6.000, 3, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 11, User 11, M, 0, 1.397, 1.249, 12.490, 5.000, 4, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 12, User 12, M, 0, 0.378, 1.614, 16.143, 5.000, 4, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 13, User 13, M, 0, 0.921, 1.915, 19.150, 7.000, 2, 0, 
0, DESKTOP_A.png, 10.000, 0, AOI 0, 0.000, 10.000, 14, User 14, M, 0, 0.428, 2.350, 23.496, 11.000, 5, 0, 
0, DESKTOP_A.png, 10.000, 1, AOI 1, 0.000, 10.000, 3, User 3, M, 0, 0.412, 0.985, 9.849, 4.000, 1, 0, 
0, DESKTOP_A.png, 10.000, 1, AOI 1, 0.000, 10.000, 4, User 4, M, 0, 0.313, 3.090, 30.898, 8.000, 2, 0, 
