Gazepoint Analysis,v6.8.0
Processed on,Tue May  7 15:43:40 2024

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
5, MOBILE_A.png, 10.000, 49, AOI 49, 0.000, 10.000, 13, 13, 1.547, 0.709, 7.091, 4.154, 13, 2.923, 0.000, 
5, MOBILE_A.png, 10.000, 50, AOI 50, 0.000, 10.000, 13, 13, 1.524, 0.823, 8.228, 4.846, 13, 3.308, 0.000, 
5, MOBILE_A.png, 10.000, 51, AOI 51, 0.000, 10.000, 13, 13, 1.316, 2.400, 23.996, 8.538, 12, 3.333, 0.000, 
5, MOBILE_A.png, 10.000, 52, AOI 52, 0.000, 10.000, 8, 13, 4.876, 0.287, 2.866, 1.875, 4, 2.500, 0.000, 
5, MOBILE_A.png, 10.000, 53, AOI 53, 0.000, 10.000, 7, 13, 4.451, 0.601, 6.015, 2.429, 3, 2.000, 0.000, 
5, MOBILE_A.png, 10.000, 54, AOI 54, 0.000, 10.000, 2, 13, 5.849, 0.170, 1.700, 1.500, 0, 0.000, 0.000, 
5, MOBILE_A.png, 10.000, 55, AOI 55, 0.000, 10.000, 13, 13, 2.522, 0.695, 6.948, 2.923, 9, 2.222, 0.000, 
5, MOBILE_A.png, 10.000, 141, AOI 47, 0.000, 10.000, 13, 13, 2.468, 0.563, 5.627, 3.154, 8, 3.000, 0.000, 
5, MOBILE_A.png, 10.000, 142, AOI 48, 0.000, 10.000, 12, 13, 1.272, 0.429, 4.292, 3.167, 10, 2.500, 0.000, 
5, MOBILE_A.png, 10.000, 143, AOI 49, 0.000, 10.000, 13, 13, 1.547, 0.709, 7.091, 4.154, 13, 2.923, 0.000, 
5, MOBILE_A.png, 10.000, 144, AOI 50, 0.000, 10.000, 13, 13, 1.524, 0.823, 8.228, 4.846, 13, 3.308, 0.000, 
5, MOBILE_A.png, 10.000, 145, AOI 51, 0.000, 10.000, 13, 13, 1.316, 2.400, 23.996, 8.538, 12, 3.333, 0.000, 
5, MOBILE_A.png, 10.000, 146, AOI 52, 0.000, 10.000, 8, 13, 4.876, 0.287, 2.866, 1.875, 4, 2.500, 0.000, 
5, MOBILE_A.png, 10.000, 147, AOI 53, 0.000, 10.000, 7, 13, 4.451, 0.601, 6.015, 2.429, 3, 2.000, 0.000, 
5, MOBILE_A.png, 10.000, 148, AOI 54, 0.000, 10.000, 2, 13, 5.849, 0.170, 1.700, 1.500, 0, 0.000, 0.000, 
5, MOBILE_A.png, 10.000, 149, AOI 55, 0.000, 10.000, 13, 13, 2.522, 0.695, 6.948, 2.923, 9, 2.222, 0.000, 
6, THE_SHIFT_14_03_24_A.png, 10.000, 56, AOI 56, 0.000, 10.000, 10, 13, 2.215, 0.586, 5.855, 3.200, 10, 1.800, 0.000, 
6, THE_SHIFT_14_03_24_A.png, 10.000, 57, AOI 57, 0.000, 10.000, 2, 13, 8.411, 0.386, 3.857, 2.000, 1, 1.000, 0.000, 
